Plot,Isolate_x,Isolate_y,SICA,escape_ratio_x_from_y,escape_ratio_y_from_x,alt_escape_ratio_x_from_y,alt_escape_ratio_y_from_x
3,3D,3E,Streptomycin,0.207729469,5.292307692,0.087917042,2.529690346
3,3D,3E,Streptothricin,22.42753623,0,4.220919748,0
3,3D,3E,Tetracycline,0.601449275,6.282051282,0.667267809,1.40291439
3,3D,3E,Vancomycin,0.31884058,2.784615385,0.229486023,2.348998179
3,3D,3F,Chloramphenicol,0.335443038,1.238095238,1.117592877,0.375
3,3D,3F,Rifampicin,0,9.380952381,0.152901443,5.113255034
3,3D,3F,Streptomycin,0.10443038,3.545454545,0.208167025,2.591442953
3,3D,3F,Streptothricin,26.7943038,0.134199134,2.836352472,0.045302013
3,3D,3F,Tetracycline,5.462025316,0.333333333,2.5594105,0.06795302
3,3D,3F,Vancomycin,0.129746835,1.80952381,0.471292601,2.140100671
3,3D,3G,Chloramphenicol,14.25550661,0,1.763577702,0
3,3D,3G,Rifampicin,1.465491924,2.771929825,0.257393798,1.216061185
3,3D,3G,Streptomycin,0.173274596,3.75,0.060584334,4.929254302
3,3D,3G,Streptothricin,3.005873715,1.192982456,1.17565872,0.481835564
3,3D,3G,Tetracycline,9.914831131,1.131578947,1.604409392,0.521988528
3,3D,3G,Vancomycin,1.202643172,2.929824561,0.634343072,1.739961759
3,3D,3H,Chloramphenicol,20.95384615,0.373540856,3.624627184,0.092172641
3,3D,3H,Rifampicin,0.123076923,9.036964981,0.096719216,4.66861741
3,3D,3H,Streptomycin,0.569230769,1.70233463,0.207498935,1.529261156
3,3D,3H,Streptothricin,1.415384615,0.96692607,1.039198977,0.528895391
3,3D,3H,Tetracycline,0.3,0.918287938,1.423519386,0.496342356
3,3D,3H,Vancomycin,23.36153846,0.638132296,3.448231785,0.16203365
3,3D,3I,Chloramphenicol,0.197324415,3.207407407,0.334821429,2.311694511
3,3D,3I,Rifampicin,0.331103679,3.848148148,0.1640625,1.839618138
3,3D,3I,Streptomycin,0.170568562,2.766666667,0.17671131,1.953699284
3,3D,3I,Streptothricin,0.775919732,2.822222222,0.499627976,1.708353222
3,3D,3I,Tetracycline,0,2.559259259,0.482886905,2.998090692
3,3D,3I,Vancomycin,1.565217391,1.859259259,0.724330357,1.402863962
3,3D,3J,Chloramphenicol,0.071942446,3.414225941,0.123411978,3.651146132
